"2021 Apple M1 Pro MacBook Pro 16"" 32GB/512GB SSD - (Space Gray) A2485 w/Warranty",2026-03-12 02:48:51,$795.15,"$2,699.00",N/A,https://www.ebay.com/itm/146647402645?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006400,title,timestamp,price,original_price,shipping,item_url,discount_percentage
Epson BrightLink 1485Fi FHD 5000Lumen 3LCD Interactive Classroom Laser Projector,2026-03-12 02:48:52,"$1,357.00","$3,099.00",,https://www.ebay.com/itm/175297139043?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006409,,,,,,,
Samsung 656W 11.1.4-Ch 656W Dolby Atmos Soundbar System HW-Q990D/ZA,2026-03-12 02:48:52,$829.98,"$1,599.99",,https://www.ebay.com/itm/395482986060?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006409,,,,,,,
"ONN 11"" Swivel Screen Portable Blu-Ray/DVD Player w/ HDMI, USB, Ethernet 1000097",2026-03-12 02:48:52,$113.99,$159.99,,https://www.ebay.com/itm/233730886679?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006409,,,,,,,
SVBONY MK127 127mm Telescope Professional Maksutov-Cassegrain Planetary Visual,2026-03-12 02:48:52,$479.99,$533.32,,https://www.ebay.com/itm/197423012127?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006430,,,,,,,
SVBONY SV48P 102mm f/6.5 Telescope Astronomical Professional for Observation,2026-03-12 02:48:52,$229.99,$333.32,,https://www.ebay.com/itm/196534578698?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006430,,,,,,,
OM System Olympus OM-1 20MP Stacked Sensor Mirrorless Camera,2026-03-12 02:48:52,$875.00,,,https://www.ebay.com/itm/205975048161?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006430,,,,,,,
OM System Olympus OM-1 Mirrorless Camera w/12-40mm f/2.8 Pro II Lens,2026-03-12 02:48:52,"$1,499.00",,,https://www.ebay.com/itm/147075451628?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006430,,,,,,,
Olympus OM System 12-40mm f2.8 M.Zuiko ED PRO II Lens Micro 4/3 MFT,2026-03-12 02:48:52,$699.00,,,https://www.ebay.com/itm/205996230549?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006430,,,,,,,
Nintendo Switch OLED 64GB Game Console + 1 Year🛡️ Warranty | 2-Day Shipping📦✈️,2026-03-12 02:48:52,$249.95,$399.99,,https://www.ebay.com/itm/357950678927?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006401,,,,,,,
Nex Playground Active Play System Motion Gaming Console AI Controller New OB,2026-03-12 02:48:52,$179.99,$199.99,,https://www.ebay.com/itm/389679669427?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006401,,,,,,,
"Gaming Charging Case 20W for Nintendo Switch 2, Sage Green",2026-03-12 02:48:52,$69.99,,,https://www.ebay.com/itm/127701925145?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006401,,,,,,,
"Gaming Charging Case 20W for Nintendo Switch 2, Sand",2026-03-12 02:48:52,$69.99,,,https://www.ebay.com/itm/127701925104?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006401,,,,,,,
"Gaming Charging Case Pro 30W, Green",2026-03-12 02:48:53,$99.99,,,https://www.ebay.com/itm/127701926681?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006401,,,,,,,
"Apple 2022 iPad Pro, 12.9-inch, Wi-Fi + Cellular, 256GB, Silver - Excellent",2026-03-12 02:48:53,$592.99,"$1,399.00",,https://www.ebay.com/itm/406710862765?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006415,,,,,,,
TABWEE T90 Android Tablet With GPS 11 Inch Andriod 16 24GB+128GB 8000mAh T615,2026-03-12 02:48:53,$139.00,,,https://www.ebay.com/itm/366144621889?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006415,,,,,,,
"Apple iPad Air 5 M1 (2022) 10.9"" 64GB 256GB - WiFi or Cellular - Good",2026-03-12 02:48:53,$289.99,,,https://www.ebay.com/itm/157484606510?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006415,,,,,,,
Apple iPad Pro 12.9″ (5th Gen 2021) Wi-Fi M1 Excellent Condition 1 Year Warranty,2026-03-12 02:48:53,$499.95,,,https://www.ebay.com/itm/227211848353?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006415,,,,,,,
