title,timestamp,price,original_price,shipping,item_url
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:50.759305,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:50.843048,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:50.930673,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:50.988194,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:51.044241,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:51.121756,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:51.188577,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:51.252375,US $172.38,US $28.70,Free shipping,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:51.329357,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:51.394755,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:51.461669,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:51.569181,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:51.654036,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:51.722770,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:51.796533,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:51.859636,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:51.933807,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:52.012235,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:52.074125,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:52.128116,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:52.196855,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:52.265987,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:52.326776,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:52.396259,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:52.465905,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:52.524162,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:52.589958,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:52.656727,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:52.711907,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:52.773198,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:52.859198,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:52.910877,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:52.985849,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:53.040827,US $172.38,US $269.00,Free shipping,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:53.123697,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:53.193429,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:53.290303,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:53.368373,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:53.423562,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
